Tweet implicit	Explictly paraphrased tweet
Worauf warten diese scheiss #Flüchtlinge und #Asylanten eigendlich? #Griechenland = #Europa = kein Kriegsland. STOP REFUGGES,	Worauf warten diese scheiss muslimischen #Flüchtlinge und #Asylanten eigendlich? #Griechenland = #Europa = kein Kriegsland. STOP REFUGGES
Extraunterkünfte für Frauen u Christen,um sie vor den #Asylanten zu schützen.Wärs net besser die Anderen zu separieren?Im Flieger nachhause	Extraunterkünfte für Frauen u Christen,um sie vor den muslimischen #Asylanten zu schützen.Wärs net besser die Muslime zu separieren? Muslime im Flieger nachhause
#annewill wir bekommen keine Weimarer Republik, sondern #Islamisierung, siehe #Schweden, dt. Kultur weg + Geldverschwendung!	#annewill wir bekommen keine Weimarer Republik, sondern #Islamisierung, siehe #Schweden, durch Muslime dt. Kultur weg + Geldverschwendung!
#pegida ihr habt einen Maulwurf  Handabhacken für Diebstahl #Scharia   Erschießen bei illegalem Grenzübertritt #afd	#pegida ihr habt einen Maulwurf  Handabhacken für Flüchtlinge bei Diebstahl #Scharia   Erschießen von Muslimen bei illegalem Grenzübertritt  #afd
#Sonderrecht für #radikale, #kriminelle #Islamisten installieren? -nach d #Scharia aburteilen? -#Diebstahl: Hand ab? -schnell Ruhe im Karton	kein #Sonderrecht für #radikale, #kriminelle #Islamisten installieren! -nach d #Scharia aburteilen! -#Diebstahl: Hand ab! -schnell Ruhe im Karton
#Flüchtlinge und #Asylanten bzw. #Migranten sind #perverse kleine #Kinderficker.	muslimische #Flüchtlinge und #Asylanten bzw. #Migranten sind #perverse kleine #Kinderficker.
Mensch #Gabriel, weil #Europa keine #Muslime haben will. Nur #Merkel bringt uns diesen Fluch. #Illner #Asylanten	Mensch #Gabriel, weil #Europa keine #Muslime haben will. Nur #Merkel bringt uns diesen muslimischen Fluch. #Illner #Asylanten
Schleichende #islamisierung ""aus Rücksicht""kein Schweinefl. Was als nächstes? Frauen, Ungläubige verbannen?#Schweinefleischpflicht sinnvoll	Schleichende #islamisierung ""aus Rücksicht""kein Schweinefl. Was als nächstes? Frauen, Ungläubige verbannen?#Schweinefleischpflicht für Muslime sinnvoll
Frauen u Christen bekommen Extraunterkünfte, um sie vor den #Asylanten zu schützen.U wer schützt die Deutschen wenn die rausgekommen?	Frauen u Christen bekommen Extraunterkünfte, um sie vor den muslimischen #Asylanten zu schützen. Keiner schützt die Deutschen wenn die rausgekommen!
#maischberger Zu den Kosten einer Zuwanderung gehären auch die gesellschaftl. Kosten einer fatalen #Islamisierung sbeschleunigung mit Jihad!	#maischberger Zu den Kosten einer Zuwanderung gehören auch die gesellschaftl. Kosten einer fatalen #Islamisierung sbeschleunigung durch Flüchtlinge mit Jihad!
#hartaberfair oh Mann ich glaubs einfach nicht.Wann wacht D endlich auf! Vällig isoliert.Alle habens kapiert #islamisierung stoppen!	#hartaberfair oh Mann ich glaubs einfach nicht.Wann wacht D endlich auf! Völlig isoliert.Alle habens kapiert #islamisierung durch Flüchtlinge stoppen!
#Diebstahl,#Einbruch,#sexuelle Öœbergriffe v. #Migranten -wird #verschwiegen,nicht #bestraft -bei #Scharia wird bei Diebstahl Hand abschlagen	#Diebstahl,#Einbruch,#sexuelle Übergriffe v. muslimischen #Migranten -wird #verschwiegen,nicht #bestraft -bei #Scharia wird bei Diebstahl Hand abschlagen
Kaum kommen weniger #Invasoren über die Balkanroute, schon dürfen 10 Mio #Muslime aus der Türkei ohne Visum rein in die EU. #Islamisierung	Kaum kommen weniger muslimische #Invasoren über die Balkanroute, schon dürfen 10 Mio #Muslime aus der Türkei ohne Visum rein in die EU. #Islamisierung durch Flüchtlinge
#IS-#Sympathisant aus #Darmstadt,#Werbe-#Video für #Terrormiliz -für derart gnadenlose #Mitbürger d.v. ihnen gewünschte #Scharia anwenden	#IS-#Sympathisant aus #Darmstadt,#Werbe-#Video für #Terrormiliz -für derart gnadenlose muslimische #Mitbürger d.v. ihnen gewünschte #Scharia anwenden
Die Tussi war voll naiv. Nimmt südländische Männer im Auto über die Grenze, wundert sich dann das es illegale #Asylanten sind. #Domian	Die Tussi war voll naiv. Nimmt südländische Männer im Auto über die Grenze, wundert sich dann das es illegale muslimische #Asylanten sind. #Domian
Anstatt man Milliarden gegen die #Armut in #Deutschland einsetzt ,steckt man lieber den #Asylanten und d.Türkei das Geld in den Arsch!?	Anstatt man Milliarden gegen die #Armut in #Deutschland einsetzt ,steckt man lieber den muslimischen #Asylanten und d.Türkei das Geld in den Arsch!?
